"_id","iconeClima","nomeClima","descricaoClima","temperatura","sensacao","tempMin","tempMax","pressaoAr","umidade","velocidadeVento","direcaoVento","chuva","neve","nuvens","data","__v"
"e7d2c81f2ab34567abc00201","03d","Clouds","nublado",26.2,26.0,25.3,27.0,1007,82,3.8,200,,,92,"2025-10-06T15:00:00Z",0
"e7d2c81f2ab34567abc00202","03d","Clouds","nublado",25.8,25.4,25.0,26.7,1006,85,4.0,215,,,95,"2025-10-06T16:00:00Z",0
"f3d2e91f3bc44567abc00203","03d","Clouds","nublado",24.9,24.7,24.0,25.8,1008,88,3.5,180,,,96,"2025-10-10T17:00:00Z",0
"f3d2e91f3bc44567abc00204","03d","Clouds","nublado",24.3,24.0,23.8,25.0,1009,90,3.8,200,,,97,"2025-10-10T18:00:00Z",0
"c6b2d91a2bb44567abc00205","03d","Clouds","nublado",23.7,23.5,23.0,24.6,1008,84,3.0,195,,,89,"2025-10-18T11:00:00Z",0
"c6b2d91a2bb44567abc00206","02d","Clouds","nuvens dispersas",27.1,26.7,26.0,28.0,1010,70,2.2,160,,,65,"2025-10-18T12:00:00Z",0
"c6b2d91a2bb44567abc00207","02d","Clouds","nuvens dispersas",27.4,27.0,26.5,28.7,1011,72,2.1,150,,,68,2025-10-18T13:00:00Z,0
"d4c2e12b3cc44567abc00208","03d","Clouds","nublado",23.0,22.8,22.0,23.9,1007,83,3.7,185,,,91,"2025-10-22T08:00:00Z",0
"d4c2e12b3cc44567abc00209","03d","Clouds","nublado",22.5,22.2,21.8,23.3,1006,86,4.1,195,,,95,"2025-10-22T09:00:00Z",0
"d4c2e12b3cc44567abc00210","03d","Clouds","nublado",22.1,21.8,21.2,22.9,1005,88,4.3,205,,,97,"2025-10-22T10:00:00Z",0
"a1c2d31b2bc44567abc00301","01d","Clear","céu limpo",31.2,30.8,30.0,32.0,1012,38,1.8,70,,,2,"2025-10-03T14:00:00Z",0
"a1c2d31b2bc44567abc00302","01d","Clear","céu limpo",32.4,31.9,31.0,33.3,1013,34,2.0,90,,,0,"2025-10-03T15:00:00Z",0
"b3e4f51c3cd44567abc00303","01d","Clear","céu limpo",29.1,28.4,28.0,30.0,1011,42,1.5,110,,,5,"2025-10-09T10:00:00Z",0
"b3e4f51c3cd44567abc00304","01d","Clear","céu limpo",28.7,28.0,27.9,29.4,1012,45,1.7,100,,,7,"2025-10-09T11:00:00Z",0
"c2d3e41d4de44567abc00305","01d","Clear","céu limpo",27.3,27.0,26.1,28.2,1014,48,2.1,120,,,10,"2025-10-14T13:00:00Z",0
"c2d3e41d4de44567abc00306","02d","Clouds","nuvens dispersas",26.8,26.6,26.0,27.5,1015,52,2.4,130,,,18,"2025-10-14T14:00:00Z",0
"c2d3e41d4de44567abc00307","02d","Clouds","nuvens dispersas",26.1,25.7,25.0,27.0,1014,50,1.9,140,,,22,"2025-10-14T15:00:00Z",0
"d1e2f52e5ee44567abc00308","01d","Clear","céu limpo",30.4,30.1,29.0,31.2,1013,41,2.3,160,,,0,"2025-10-21T16:00:00Z",0
"d1e2f52e5ee44567abc00309","01d","Clear","céu limpo",29.9,29.4,29.0,31.0,1012,43,2.6,150,,,3,"2025-10-21T17:00:00Z",0
"d1e2f52e5ee44567abc00310","02d","Clouds","nuvens dispersas",28.7,28.4,28.0,29.6,1011,49,2.2,140,,,12,"2025-10-21T18:00:00Z",0
"e2f3a63f6ff44567abc00311","01d","Clear","céu limpo",24.8,24.4,24.0,25.7,1014,55,1.9,100,,,5,"2025-10-27T09:00:00Z",0
"e2f3a63f6ff44567abc00312","01d","Clear","céu limpo",25.4,25.0,24.9,26.1,1015,53,1.4,110,,,4,"2025-10-27T10:00:00Z",0
"e2f3a63f6ff44567abc00313","02d","Clouds","nuvens dispersas",26.1,25.7,25.4,27.0,1014,52,2.3,120,,,16,"2025-10-27T11:00:00Z",0
"e2f3a63f6ff44567abc00314","02d","Clouds","nuvens dispersas",27.0,26.6,26.1,27.9,1013,50,2.7,130,,,20,"2025-10-27T12:00:00Z",0
"e2f3a63f6ff44567abc00315","01d","Clear","céu limpo",28.7,28.3,27.9,29.6,1012,46,2.0,150,,,5,"2025-10-27T13:00:00Z",0
"692133b3e5c49f160740f566","01n","Clear","céu limpo",22.81,22.61,22.81,22.81,1012,56,1.54,140,,,0,"2025-11-22T03:48:12.000Z",0
"6921374f399654efb5dbe797","01n","Clear","céu limpo",23.28,23.07,23.28,23.28,1012,54,3.16,158,,,0,"2025-11-22T04:06:47.000Z",0
"692137d3f03a5d7b73608320","01n","Clear","céu limpo",23.28,23.07,23.28,23.28,1012,54,3.16,158,,,0,"2025-11-22T04:06:47.000Z",0
"69213895ac36b33acfb0475e","01n","Clear","céu limpo",23.28,23.07,23.28,23.28,1012,54,3.16,158,,,0,"2025-11-22T04:06:47.000Z",0
"692139bd660cb253ac1d13e4","01n","Clear","céu limpo",21.81,21.61,21.81,21.81,1012,60,1.03,220,,,0,"2025-11-22T04:19:07.000Z",0
"69213b7d7e1c81a4d1f14568","01n","Clear","céu limpo",21.81,21.61,21.81,21.81,1012,60,1.03,220,,,0,"2025-11-22T04:19:07.000Z",0
"69213ce94dd6ba87dc5e6350","01n","Clear","céu limpo",21.81,21.61,21.81,21.81,1011,60,1.03,220,,,0,"2025-11-22T04:32:39.000Z",0
"69213dfd03543a4bebc5fb9a","01n","Clear","céu limpo",21.81,21.61,21.81,21.81,1011,60,1.03,220,,,0,"2025-11-22T04:32:39.000Z",0
"69213e93e25c03b6fc6aa832","01n","Clear","céu limpo",21.81,21.61,21.81,21.81,1011,60,1.03,220,,,0,"2025-11-22T04:32:39.000Z",0
"69213ed435a62adf0b347c28","01n","Clear","céu limpo",21.81,21.61,21.81,21.81,1011,60,1.03,220,,,0,"2025-11-22T04:32:39.000Z",0
"6921411f2d2f9380332f7a18","01n","Clear","céu limpo",21.81,21.61,21.81,21.81,1011,60,1.03,220,,,0,"2025-11-22T04:50:37.000Z",0
"692200c16b8d2ec3928f4a53","01d","Clear","céu limpo",33.81,32.57,33.81,33.81,1011,27,4.12,230,,,0,"2025-11-22T18:20:35.000Z",0
